Bank,Date,Close,Currency,GlobalBankIndex
Bank of America,2023-02-01,33.56007766723633,USD,962.280029296875
Bank of America,2023-02-02,33.75628662109375,USD,960.1099853515625
Bank of America,2023-02-03,34.03657531738281,USD,954.5999755859375
Bank of America,2023-02-06,33.98051071166992,USD,941.280029296875
Bank of America,2023-02-07,34.35423278808594,USD,953.8599853515625
Bank of America,2023-02-08,34.10197448730469,USD,958.4099731445312
Bank of America,2023-02-09,33.373226165771484,USD,958.1599731445312
Bank of America,2023-02-10,33.24242401123047,USD,951.010009765625
Bank of America,2023-02-13,33.307823181152344,USD,954.4500122070312
Bank of America,2023-02-14,33.279788970947266,USD,958.2999877929688
Bank of America,2023-02-15,33.223731994628906,USD,951.97998046875
Bank of America,2023-02-16,32.962127685546875,USD,958.0499877929688
Bank of America,2023-02-17,33.027523040771484,USD,956.4400024414062
Bank of America,2023-02-21,32.25205993652344,USD,948.8599853515625
Bank of America,2023-02-22,32.03717041015625,USD,938.530029296875
Bank of America,2023-02-23,32.00914001464844,USD,940.5800170898438
Bank of America,2023-02-24,31.96242904663086,USD,932.3499755859375
Bank of America,2023-02-27,31.96242904663086,USD,943.5499877929688
Bank of America,2023-02-28,32.0465087890625,USD,948.530029296875
Bank of America,2023-03-01,31.89702606201172,USD,944.4199829101562
Bank of America,2023-03-02,31.49266815185547,USD,935.1799926757812
Bank of America,2023-03-03,32.122711181640625,USD,950.219970703125
Bank of America,2023-03-06,32.056884765625,USD,957.9299926757812
Bank of America,2023-03-07,31.03189468383789,USD,941.25
Bank of America,2023-03-08,30.618135452270508,USD,938.969970703125
Bank of America,2023-03-09,28.71860694885254,USD,923.1699829101562
Bank of America,2023-03-10,28.464710235595703,USD,900.6099853515625
Bank of America,2023-03-13,26.809675216674805,USD,862.1300048828125
Bank of America,2023-03-14,27.044767379760742,USD,867.5800170898438
Bank of America,2023-03-15,26.790864944458008,USD,825.0599975585938
Bank of America,2023-03-16,27.24224090576172,USD,835.4400024414062
Bank of America,2023-03-17,26.16082763671875,USD,819.739990234375
Bank of America,2023-03-20,26.095001220703125,USD,806.510009765625
Bank of America,2023-03-21,26.884904861450195,USD,830.8900146484375
Bank of America,2023-03-22,25.991559982299805,USD,824.8599853515625
Bank of America,2023-03-23,25.36151695251465,USD,817.2899780273438
Bank of America,2023-03-24,25.52138328552246,USD,794.719970703125
Bank of America,2023-03-27,26.790864944458008,USD,806.1599731445312
Bank of America,2023-03-28,26.442934036254883,USD,813.510009765625
Bank of America,2023-03-29,26.960128784179688,USD,826.0499877929688
Bank of America,2023-03-30,26.612199783325195,USD,831.0700073242188
Bank of America,2023-03-31,26.894306182861328,USD,834.4400024414062
Bank of America,2023-04-03,26.884904861450195,USD,840.5700073242188
Bank of America,2023-04-04,26.3112850189209,USD,839.8699951171875
Bank of America,2023-04-05,25.991559982299805,USD,834.5700073242188
Bank of America,2023-04-06,26.17963409423828,USD,841.530029296875
Bank of America,2023-04-10,26.27366828918457,USD,841.510009765625
Bank of America,2023-04-11,26.997743606567383,USD,850.0499877929688
Bank of America,2023-04-12,26.781463623046875,USD,855.3300170898438
Bank of America,2023-04-13,26.8566951751709,USD,860.75
Bank of America,2023-04-14,27.759437561035156,USD,876.989990234375
Bank of America,2023-04-17,28.558746337890625,USD,870.02001953125
Bank of America,2023-04-18,28.73741340637207,USD,880.280029296875
Bank of America,2023-04-19,28.26723289489746,USD,882.7100219726562
Bank of America,2023-04-20,28.116775512695312,USD,878.4000244140625
Bank of America,2023-04-21,28.088563919067383,USD,871.1400146484375
Bank of America,2023-04-24,27.985124588012695,USD,869.52001953125
Bank of America,2023-04-25,27.119991302490234,USD,852.3499755859375
Bank of America,2023-04-26,26.743846893310547,USD,848.9199829101562
Bank of America,2023-04-27,27.167011260986328,USD,858.4500122070312
Bank of America,2023-04-28,27.533750534057617,USD,857.3099975585938
Bank of America,2023-05-01,27.30806541442871,USD,856.0599975585938
Bank of America,2023-05-02,26.48055076599121,USD,842.1799926757812
Bank of America,2023-05-03,26.198436737060547,USD,839.489990234375
Bank of America,2023-05-04,25.380325317382812,USD,832.010009765625
Bank of America,2023-05-05,26.057388305664062,USD,852.1199951171875
Bank of America,2023-05-08,26.038578033447266,USD,858.1400146484375
Bank of America,2023-05-09,26.0103702545166,USD,855.22998046875
Bank of America,2023-05-10,25.690645217895508,USD,850.489990234375
Bank of America,2023-05-11,25.7564697265625,USD,847.1199951171875
Bank of America,2023-05-12,25.474361419677734,USD,841.3300170898438
Bank of America,2023-05-15,26.000965118408203,USD,850.75
Bank of America,2023-05-16,25.728260040283203,USD,846.1599731445312
Bank of America,2023-05-17,26.866092681884766,USD,854.6599731445312
Bank of America,2023-05-18,26.772058486938477,USD,859.5900268554688
Bank of America,2023-05-19,26.43353271484375,USD,856.8300170898438
Bank of America,2023-05-22,26.64981460571289,USD,859.3400268554688
Bank of America,2023-05-23,26.875499725341797,USD,859.530029296875
Bank of America,2023-05-24,26.42412567138672,USD,843.280029296875
Bank of America,2023-05-25,26.489953994750977,USD,838.25
Bank of America,2023-05-26,26.621601104736328,USD,842.1699829101562
Bank of America,2023-05-30,26.5745849609375,USD,837.9400024414062
Bank of America,2023-05-31,26.132617950439453,USD,822.5700073242188
Bank of America,2023-06-01,26.331666946411133,USD,833.4099731445312
Bank of America,2023-06-02,27.213180541992188,USD,851.75
Bank of America,2023-06-05,27.052043914794922,USD,848.8400268554688
Bank of America,2023-06-06,27.70606803894043,USD,856.6400146484375
Bank of America,2023-06-07,27.943035125732422,USD,861.3300170898438
Bank of America,2023-06-08,27.70606803894043,USD,866.3300170898438
Bank of America,2023-06-09,27.743986129760742,USD,865.8099975585938
Bank of America,2023-06-12,27.61128044128418,USD,863.010009765625
Bank of America,2023-06-13,27.86720848083496,USD,868.7899780273438
Bank of America,2023-06-14,27.601806640625,USD,873.2899780273438
Bank of America,2023-06-15,27.83877182006836,USD,873.3499755859375
Bank of America,2023-06-16,27.668155670166016,USD,873.780029296875
Bank of America,2023-06-20,27.364837646484375,USD,869.22998046875
Bank of America,2023-06-21,27.08047866821289,USD,869.7899780273438
Bank of America,2023-06-22,26.502281188964844,USD,860.469970703125
Bank of America,2023-06-23,26.303232192993164,USD,848.3900146484375
Bank of America,2023-06-26,26.625503540039062,USD,850.6799926757812
Bank of America,2023-06-27,26.767683029174805,USD,861.02001953125
Bank of America,2023-06-28,26.606544494628906,USD,861.47998046875
Bank of America,2023-06-29,27.165788650512695,USD,872.780029296875
Bank of America,2023-06-30,27.194225311279297,USD,879.9400024414062
Bank of America,2023-07-03,27.67763328552246,USD,890.030029296875
Bank of America,2023-07-05,27.56389045715332,USD,881.5800170898438
Bank of America,2023-07-06,26.80560302734375,USD,851.719970703125
Bank of America,2023-07-07,27.042564392089844,USD,858.3099975585938
Bank of America,2023-07-10,27.165788650512695,USD,856.6799926757812
Bank of America,2023-07-11,27.507017135620117,USD,864.1599731445312
Bank of America,2023-07-12,27.829296112060547,USD,881.5399780273438
Bank of America,2023-07-13,28.12312889099121,USD,890.7999877929688
Bank of America,2023-07-14,27.59232521057129,USD,882.3099975585938
Bank of America,2023-07-17,27.86720848083496,USD,886.27001953125
Bank of America,2023-07-18,29.099428176879883,USD,899.239990234375
Bank of America,2023-07-19,29.88615608215332,USD,902.239990234375
Bank of America,2023-07-20,30.03781509399414,USD,905.9199829101562
Bank of America,2023-07-21,30.312698364257812,USD,904.030029296875
Bank of America,2023-07-24,30.947765350341797,USD,906.6500244140625
Bank of America,2023-07-25,30.473834991455078,USD,908.2999877929688
Bank of America,2023-07-26,30.72027587890625,USD,911.8499755859375
Bank of America,2023-07-27,30.284259796142578,USD,907.9400024414062
Bank of America,2023-07-28,30.236865997314453,USD,917.5399780273438
Bank of America,2023-07-31,30.331655502319336,USD,922.6599731445312
Bank of America,2023-08-01,29.971464157104492,USD,911.3200073242188
Bank of America,2023-08-02,29.56388282775879,USD,894.5399780273438
Bank of America,2023-08-03,29.772409439086914,USD,900.0599975585938
Bank of America,2023-08-04,29.668148040771484,USD,906.77001953125
Bank of America,2023-08-07,30.21790885925293,USD,908.719970703125
Bank of America,2023-08-08,29.639713287353516,USD,891.6300048828125
Bank of America,2023-08-09,29.251087188720703,USD,891.530029296875
Bank of America,2023-08-10,29.326919555664062,USD,897.75
Bank of America,2023-08-11,29.658672332763672,USD,895.3099975585938
Bank of America,2023-08-14,29.317440032958984,USD,887.469970703125
Bank of America,2023-08-15,28.379053115844727,USD,878.0
Bank of America,2023-08-16,27.762943267822266,USD,868.25
Bank of America,2023-08-17,27.753463745117188,USD,867.9400024414062
Bank of America,2023-08-18,27.59232521057129,USD,862.6500244140625
Bank of America,2023-08-21,27.63024139404297,USD,859.5999755859375
Bank of America,2023-08-22,26.957256317138672,USD,858.4500122070312
Bank of America,2023-08-23,26.96673583984375,USD,862.8300170898438
Bank of America,2023-08-24,27.12787437438965,USD,863.780029296875
Bank of America,2023-08-25,27.014129638671875,USD,859.27001953125
Bank of America,2023-08-28,27.26057243347168,USD,871.530029296875
Bank of America,2023-08-29,27.64919662475586,USD,881.4199829101562
Bank of America,2023-08-30,27.525978088378906,USD,884.5700073242188
Bank of America,2023-08-31,27.401729583740234,USD,880.4000244140625
Bank of America,2023-09-01,27.69801139831543,USD,882.52001953125
Bank of America,2023-09-05,27.382610321044922,USD,877.5599975585938
Bank of America,2023-09-06,27.134113311767578,USD,871.3599853515625
Bank of America,2023-09-07,26.88561248779297,USD,867.1400146484375
Bank of America,2023-09-08,27.105440139770508,USD,867.5800170898438
Bank of America,2023-09-11,27.220130920410156,USD,880.5499877929688
Bank of America,2023-09-12,27.68845558166504,USD,886.969970703125
Bank of America,2023-09-13,27.60243797302246,USD,893.9299926757812
Bank of America,2023-09-14,27.908283233642578,USD,905.77001953125
Bank of America,2023-09-15,27.564208984375,USD,902.489990234375
Bank of America,2023-09-18,27.487743377685547,USD,893.8599853515625
Bank of America,2023-09-19,27.382610321044922,USD,899.97998046875
Bank of America,2023-09-20,27.287033081054688,USD,902.0399780273438
Bank of America,2023-09-21,26.80915069580078,USD,894.030029296875
Bank of America,2023-09-22,26.417287826538086,USD,888.5999755859375
Bank of America,2023-09-25,26.379058837890625,USD,880.1799926757812
Bank of America,2023-09-26,25.968082427978516,USD,875.0700073242188
Bank of America,2023-09-27,26.063655853271484,USD,873.6799926757812
Bank of America,2023-09-28,26.340829849243164,USD,878.8099975585938
Bank of America,2023-09-29,26.168790817260742,USD,878.489990234375
Bank of America,2023-10-02,25.518875122070312,USD,865.5399780273438
